epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
17.0,67.0,2032.0,38720.0,1000.0,0.492126,75.0,75.0,4363312.5,0.009003,3.875,,,
25.0,39.0,4120.0,78720.0,2000.0,0.4854369,100.0,87.5,1670399.9,0.008003,2.75,,,
33.0,113.0,6220.0,118720.0,3000.0,0.48231512,134.0,103.0,13816960.0,0.007003,1.625,,,
41.0,84.0,8310.0,158720.0,4000.0,0.48134777,122.0,107.75,13078366000.0,0.006003,0.5,,,
48.0,101.0,10359.0,198720.0,5000.0,0.48267207,136.0,113.4,124719360000.0,0.005003,0.5,,,
55.0,126.0,12302.0,238720.0,6000.0,0.4877256,152.0,119.833336,134011200000.0,0.004003,0.5,,,
63.0,30.0,14425.0,278720.0,7000.0,0.48526862,133.0,121.71429,229994140000.0,0.003003,0.5,,,
70.0,51.0,16465.0,318720.0,8000.0,0.48587912,133.0,123.125,100816410.0,0.002003,0.5,,,
77.0,75.0,18339.0,358720.0,9000.0,0.4907574,147.0,125.77778,98144664.0,0.001003,0.5,,,
84.0,112.0,20349.0,398720.0,10000.0,0.49142465,137.0,126.9,614619940000.0,3e-06,0.5,,,
