epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
19.0,25.0,1966.0,38720.0,1000.0,0.508647,94.0,94.0,15248445000.0,0.009003,3.875,,,
38.0,57.0,4012.0,78720.0,2000.0,0.4985045,112.0,103.0,23652790000000.0,0.008003,2.75,,,
46.0,45.0,6060.0,118720.0,3000.0,0.4950495,129.0,111.666664,2534398700000000.0,0.007003,1.625,,,
53.0,59.0,8145.0,158720.0,4000.0,0.49109882,140.0,118.75,3566779800000000.0,0.006003,0.5,,,
60.0,129.0,10245.0,198720.0,5000.0,0.48804295,143.0,123.6,2115426800000000.0,0.005003,0.5,,,
68.0,97.0,12141.0,238720.0,6000.0,0.49419323,128.0,124.333336,28536958000000.0,0.004003,0.5,,,
76.0,76.0,14214.0,278720.0,7000.0,0.4924722,126.0,124.57143,25356843000000.0,0.003003,0.5,,,
84.0,70.0,16331.0,318720.0,8000.0,0.4898659,122.0,124.25,8.180558e+16,0.002003,0.5,,,
92.0,40.0,18234.0,358720.0,9000.0,0.4935834,118.0,123.55556,3.971252e+16,0.001003,0.5,,,
100.0,29.0,20174.0,398720.0,10000.0,0.4956875,125.0,123.7,4.868062e+16,3e-06,0.5,,,
