epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
26.0,12.0,1968.0,38720.0,1000.0,0.5081301,67.0,67.0,476372.56,0.009003,3.875,,,
39.0,14.0,4076.0,78720.0,2000.0,0.49067715,126.0,96.5,3086063.8,0.008003,2.75,,,
49.0,18.0,6216.0,118720.0,3000.0,0.48262548,21.0,71.333336,7810709.5,0.007003,1.625,,,
77.0,46.0,8337.0,158720.0,4000.0,0.4797889,70.0,71.0,603772.2,0.006003,0.5,,,
99.0,5.0,10513.0,198720.0,5000.0,0.47560164,42.0,65.2,767168500.0,0.005003,0.5,,,
117.0,55.0,12551.0,238720.0,6000.0,0.47804955,44.0,61.666668,1599401500.0,0.004003,0.5,,,
149.0,11.0,14586.0,278720.0,7000.0,0.47991225,20.0,55.714287,5840239000.0,0.003003,0.5,,,
187.0,23.0,16658.0,318720.0,8000.0,0.48024973,21.0,51.375,1352736000.0,0.002003,0.5,,,
203.0,35.0,18527.0,358720.0,9000.0,0.48577753,92.0,55.88889,4566216700.0,0.001003,0.5,,,
214.0,6.0,20508.0,398720.0,10000.0,0.4876146,86.0,58.9,11480673000.0,3e-06,0.5,,,
