epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
13.0,70.0,2035.0,38720.0,1000.0,0.49140048,145.0,145.0,358531000000.0,0.009003,3.875,,,
25.0,54.0,4117.0,78720.0,2000.0,0.4857906,56.0,100.5,1355295800000.0,0.008003,2.75,,,
35.0,89.0,6179.0,118720.0,3000.0,0.48551545,127.0,109.333336,9863995000000000.0,0.007003,1.625,,,
44.0,9.0,8283.0,158720.0,4000.0,0.48291683,128.0,114.0,6.5591293e+16,0.006003,0.5,,,
52.0,63.0,10369.0,198720.0,5000.0,0.48220658,108.0,112.8,2.1632087e+17,0.005003,0.5,,,
63.0,54.0,12296.0,238720.0,6000.0,0.48796356,63.0,104.5,9.4201456e+17,0.004003,0.5,,,
72.0,46.0,14259.0,278720.0,7000.0,0.490918,123.0,107.14286,751120400000000.0,0.003003,0.5,,,
80.0,115.0,16374.0,318720.0,8000.0,0.48857945,113.0,107.875,3.3365395e+18,0.002003,0.5,,,
89.0,42.0,18285.0,358720.0,9000.0,0.49220672,115.0,108.666664,1540504500000000.0,0.001003,0.5,,,
97.0,78.0,20283.0,398720.0,10000.0,0.49302372,127.0,110.5,4.0419136e+18,3e-06,0.5,,,
