epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
15.0,32.0,2035.0,38720.0,1000.0,0.49140048,62.0,62.0,18221170000000.0,0.009003,3.875,,,
24.0,93.0,4061.0,78720.0,2000.0,0.49248955,111.0,86.5,1886386300000000.0,0.008003,2.75,,,
34.0,31.0,6184.0,118720.0,3000.0,0.4851229,116.0,96.333336,1.912142e+16,0.007003,1.625,,,
42.0,35.0,8246.0,158720.0,4000.0,0.48508367,119.0,102.0,7.0537257e+16,0.006003,0.5,,,
51.0,106.0,10315.0,198720.0,5000.0,0.484731,119.0,105.4,713234950000000.0,0.005003,0.5,,,
67.0,45.0,12379.0,238720.0,6000.0,0.48469183,41.0,94.666664,6.4398465e+17,0.004003,0.5,,,
79.0,11.0,14422.0,278720.0,7000.0,0.48536956,112.0,97.14286,3.8955082e+17,0.003003,0.5,,,
88.0,98.0,16528.0,318720.0,8000.0,0.48402712,91.0,96.375,2291953500000000.0,0.002003,0.5,,,
97.0,97.0,18389.0,358720.0,9000.0,0.48942304,111.0,98.0,2.2704217e+18,0.001003,0.5,,,
106.0,106.0,20388.0,398720.0,10000.0,0.4904846,125.0,100.7,2.4478087e+18,3e-06,0.5,,,
