epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
23.0,54.0,2004.0,38720.0,1000.0,0.499002,55.0,55.0,763168.8,0.009003,3.875,,,
33.0,107.0,4112.0,78720.0,2000.0,0.48638132,119.0,87.0,73686300.0,0.008003,2.75,,,
66.0,98.0,6134.0,118720.0,3000.0,0.48907727,98.0,90.666664,26836868.0,0.007003,1.625,,,
100.0,14.0,8319.0,158720.0,4000.0,0.48082703,13.0,71.25,14332223.0,0.006003,0.5,,,
108.0,74.0,10358.0,198720.0,5000.0,0.48271868,90.0,75.0,554012350.0,0.005003,0.5,,,
125.0,42.0,12408.0,238720.0,6000.0,0.48355898,34.0,68.166664,1673372700.0,0.004003,0.5,,,
142.0,17.0,14460.0,278720.0,7000.0,0.48409405,64.0,67.57143,1651368300.0,0.003003,0.5,,,
156.0,50.0,16598.0,318720.0,8000.0,0.48198578,96.0,71.125,1311589800.0,0.002003,0.5,,,
166.0,74.0,18506.0,358720.0,9000.0,0.48632875,110.0,75.44444,11776009000.0,0.001003,0.5,,,
175.0,80.0,20470.0,398720.0,10000.0,0.4885198,113.0,79.2,16960738000.0,3e-06,0.5,,,
