epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
21.0,107.0,1936.0,38720.0,1000.0,0.5165289,100.0,100.0,411.43945,0.009003,3.875,,,
31.0,44.0,4024.0,78720.0,2000.0,0.4970179,200.0,150.0,33740.246,0.008003,2.75,,,
36.0,108.0,6080.0,118720.0,3000.0,0.49342105,200.0,166.66667,1309078.2,0.007003,1.625,,,
49.0,140.0,8188.0,158720.0,4000.0,0.4885198,200.0,175.0,251013.16,0.006003,0.5,,,
54.0,150.0,10276.0,198720.0,5000.0,0.48657066,200.0,180.0,351016.62,0.005003,0.5,,,
62.0,41.0,12401.0,238720.0,6000.0,0.48383194,120.0,170.0,2003.0515,0.004003,0.5,,,
73.0,95.0,14426.0,278720.0,7000.0,0.485235,110.0,161.42857,128492.62,0.003003,0.5,,,
79.0,68.0,16566.0,318720.0,8000.0,0.48291683,131.0,157.625,41030.742,0.002003,0.5,,,
87.0,2.0,18456.0,358720.0,9000.0,0.48764628,130.0,154.55556,523460.47,0.001003,0.5,,,
93.0,140.0,20489.0,398720.0,10000.0,0.48806676,145.0,153.6,15670317.0,3e-06,0.5,,,
