epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
21.0,126.0,2034.0,38720.0,1000.0,0.4916421,48.0,48.0,30592.564,0.009003,3.875,,,
43.0,4.0,4101.0,78720.0,2000.0,0.48768592,82.0,65.0,22846808.0,0.008003,2.75,,,
53.0,46.0,6201.0,118720.0,3000.0,0.48379293,113.0,81.0,415580.84,0.007003,1.625,,,
62.0,96.0,8320.0,158720.0,4000.0,0.48076922,110.0,88.25,874196.6,0.006003,0.5,,,
70.0,41.0,10381.0,198720.0,5000.0,0.48164916,99.0,90.4,2498193400.0,0.005003,0.5,,,
78.0,3.0,12523.0,238720.0,6000.0,0.47911844,99.0,91.833336,1790811400.0,0.004003,0.5,,,
85.0,41.0,14659.0,278720.0,7000.0,0.47752234,124.0,96.42857,10333970000.0,0.003003,0.5,,,
91.0,47.0,16707.0,318720.0,8000.0,0.47884122,167.0,105.25,8886740000.0,0.002003,0.5,,,
98.0,74.0,18608.0,358720.0,9000.0,0.48366293,154.0,110.666664,7975419.5,0.001003,0.5,,,
105.0,85.0,20544.0,398720.0,10000.0,0.48676014,136.0,113.2,7291692500.0,3e-06,0.5,,,
