epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
25.0,34.0,2082.0,38720.0,1000.0,0.4803074,56.0,56.0,429150.0,0.009003,3.875,,,
32.0,8.0,4186.0,78720.0,2000.0,0.47778308,200.0,128.0,332505000.0,0.008003,2.75,,,
38.0,28.0,6318.0,118720.0,3000.0,0.47483382,156.0,137.33333,3199483600.0,0.007003,1.625,,,
44.0,93.0,8425.0,158720.0,4000.0,0.47477746,161.0,143.25,5149117000.0,0.006003,0.5,,,
51.0,61.0,10428.0,198720.0,5000.0,0.47947833,154.0,145.4,7224296400.0,0.005003,0.5,,,
58.0,8.0,12500.0,238720.0,6000.0,0.48,154.0,146.83333,14586875000.0,0.004003,0.5,,,
65.0,6.0,14548.0,278720.0,7000.0,0.4811658,134.0,145.0,49647886000.0,0.003003,0.5,,,
72.0,1.0,16611.0,318720.0,8000.0,0.48160857,149.0,145.5,9437395.0,0.002003,0.5,,,
78.0,134.0,18486.0,358720.0,9000.0,0.4868549,139.0,144.77777,10699336.0,0.001003,0.5,,,
85.0,124.0,20485.0,398720.0,10000.0,0.48816207,148.0,145.1,124367970000.0,3e-06,0.5,,,
