epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
19.0,65.0,2020.0,38720.0,1000.0,0.4950495,38.0,38.0,199783340.0,0.009003,3.875,,,
46.0,3.0,4090.0,78720.0,2000.0,0.48899755,19.0,28.5,4074799600.0,0.008003,2.75,,,
73.0,12.0,6158.0,118720.0,3000.0,0.48717117,24.0,27.0,630028000000.0,0.007003,1.625,,,
88.0,23.0,8278.0,158720.0,4000.0,0.4832085,106.0,46.75,2421854300000.0,0.006003,0.5,,,
99.0,20.0,10403.0,198720.0,5000.0,0.48063058,109.0,59.2,147139900000000.0,0.005003,0.5,,,
107.0,60.0,12469.0,238720.0,6000.0,0.48119336,111.0,67.833336,2341952600000.0,0.004003,0.5,,,
115.0,116.0,14530.0,278720.0,7000.0,0.48176187,116.0,74.71429,671191800000000.0,0.003003,0.5,,,
124.0,58.0,16547.0,318720.0,8000.0,0.48347133,128.0,81.375,4552091000000000.0,0.002003,0.5,,,
132.0,96.0,18397.0,358720.0,9000.0,0.4892102,115.0,85.111115,8200318000000.0,0.001003,0.5,,,
140.0,129.0,20402.0,398720.0,10000.0,0.49014804,126.0,89.2,1.0223374e+16,3e-06,0.5,,,
