epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
4.0,11.0,112.0,2720.0,100.0,0.89285713,20.0,20.0,1374.6565,0.009903,4.8875,,,
8.0,9.0,274.0,6720.0,200.0,0.729927,26.0,23.0,621.4696,0.009803,4.775,,,
14.0,10.0,439.0,10720.0,300.0,0.6833713,18.0,21.333334,824.189,0.009703,4.6625,,,
18.0,4.0,587.0,14720.0,400.0,0.681431,43.0,26.75,5695.9043,0.009603,4.55,,,
22.0,8.0,606.0,18720.0,500.0,0.8250825,38.0,29.0,2244.7322,0.009503,4.4375,,,
27.0,3.0,631.0,22720.0,600.0,0.95087165,40.0,30.833334,8921.999,0.009403,4.325,,,
31.0,5.0,653.0,26720.0,700.0,1.0719755,18.0,29.0,7147.689,0.009303,4.2125,,,
36.0,6.0,674.0,30720.0,800.0,1.1869437,21.0,28.0,68251.55,0.009203,4.1,,,
39.0,10.0,696.0,34720.0,900.0,1.2931035,30.0,28.222221,34325.59,0.009103,3.9875,,,
43.0,6.0,704.0,38720.0,1000.0,1.4204545,16.0,27.0,18186.217,0.009003,3.875,,,
