epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
19.0,107.0,483.0,38720.0,1000.0,2.0703933,191.0,191.0,1051.5703,0.009003,3.875,,,
31.0,3.0,2222.0,78720.0,2000.0,0.90009004,72.0,131.5,8200362.0,0.008003,2.75,,,
62.0,5.0,4055.0,118720.0,3000.0,0.7398274,13.0,92.0,560111.56,0.007003,1.625,,,
81.0,108.0,5975.0,158720.0,4000.0,0.66945606,110.0,96.5,2582253.2,0.006003,0.5,,,
90.0,10.0,7832.0,198720.0,5000.0,0.6384065,130.0,103.2,8840938000.0,0.005003,0.5,,,
96.0,162.0,9707.0,238720.0,6000.0,0.61811066,162.0,113.0,3093847600.0,0.004003,0.5,,,
101.0,184.0,11533.0,278720.0,7000.0,0.606954,200.0,125.42857,10141656000.0,0.003003,0.5,,,
166.0,4.0,13308.0,318720.0,8000.0,0.60114217,9.0,110.875,2190817300.0,0.002003,0.5,,,
203.0,66.0,15029.0,358720.0,9000.0,0.59884226,166.0,117.0,19816194000.0,0.001003,0.5,,,
208.0,66.0,16823.0,398720.0,10000.0,0.5944243,200.0,125.3,6330220500.0,3e-06,0.5,,,
