epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
27.0,19.0,1783.0,38720.0,1000.0,0.56085247,30.0,30.0,1029955.9,0.009003,3.875,,,
46.0,12.0,3623.0,78720.0,2000.0,0.5520287,78.0,54.0,1541859.5,0.008003,2.75,,,
60.0,7.0,5508.0,118720.0,3000.0,0.5446623,32.0,46.666668,26067192.0,0.007003,1.625,,,
93.0,96.0,7392.0,158720.0,4000.0,0.54112554,30.0,42.5,923867700.0,0.006003,0.5,,,
106.0,3.0,9351.0,198720.0,5000.0,0.5347022,66.0,47.2,6303431.5,0.005003,0.5,,,
118.0,27.0,11509.0,238720.0,6000.0,0.52133113,114.0,58.333332,574479300.0,0.004003,0.5,,,
130.0,48.0,13548.0,278720.0,7000.0,0.51668143,56.0,58.0,5584222700.0,0.003003,0.5,,,
144.0,26.0,15638.0,318720.0,8000.0,0.5115744,72.0,59.75,814267400.0,0.002003,0.5,,,
159.0,26.0,17731.0,358720.0,9000.0,0.5075856,81.0,62.11111,10269469.0,0.001003,0.5,,,
174.0,2.0,19777.0,398720.0,10000.0,0.5056379,70.0,62.9,1818059900.0,3e-06,0.5,,,
