epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
28.0,96.0,1849.0,38720.0,1000.0,0.5408329,87.0,87.0,816392260.0,0.009003,3.875,,,
34.0,1.0,3729.0,78720.0,2000.0,0.53633684,200.0,143.5,38083730.0,0.008003,2.75,,,
49.0,77.0,5562.0,118720.0,3000.0,0.53937435,106.0,131.0,1271509200000.0,0.007003,1.625,,,
81.0,31.0,7466.0,158720.0,4000.0,0.53576213,93.0,121.5,18505355000000.0,0.006003,0.5,,,
94.0,28.0,9434.0,198720.0,5000.0,0.5299979,143.0,125.8,2843903300000.0,0.005003,0.5,,,
100.0,114.0,11525.0,238720.0,6000.0,0.52060735,147.0,129.33333,25770542000000.0,0.004003,0.5,,,
106.0,62.0,13617.0,278720.0,7000.0,0.5140633,200.0,139.42857,93432970000000.0,0.003003,0.5,,,
111.0,62.0,15696.0,318720.0,8000.0,0.50968397,200.0,147.0,3622895400000000.0,0.002003,0.5,,,
118.0,35.0,17753.0,358720.0,9000.0,0.5069566,200.0,152.88889,1814336500000000.0,0.001003,0.5,,,
138.0,60.0,19808.0,398720.0,10000.0,0.5048465,11.0,138.7,2.370452e+16,3e-06,0.5,,,
