epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
31.0,58.0,1817.0,38720.0,1000.0,0.55035776,16.0,16.0,102885.23,0.009003,3.875,,,
55.0,22.0,3662.0,78720.0,2000.0,0.5461497,48.0,32.0,702953.25,0.008003,2.75,,,
67.0,89.0,5541.0,118720.0,3000.0,0.5414185,103.0,55.666668,17422.127,0.007003,1.625,,,
76.0,20.0,7381.0,158720.0,4000.0,0.541932,122.0,72.25,820212.4,0.006003,0.5,,,
95.0,1.0,9377.0,198720.0,5000.0,0.5332196,11.0,60.0,6005255.0,0.005003,0.5,,,
108.0,107.0,11557.0,238720.0,6000.0,0.5191659,200.0,83.333336,27135870.0,0.004003,0.5,,,
115.0,91.0,13663.0,278720.0,7000.0,0.51233256,107.0,86.71429,544576.06,0.003003,0.5,,,
123.0,9.0,15803.0,318720.0,8000.0,0.506233,142.0,93.625,152179840.0,0.002003,0.5,,,
129.0,49.0,17930.0,358720.0,9000.0,0.50195205,160.0,101.0,28912236.0,0.001003,0.5,,,
136.0,10.0,19855.0,398720.0,10000.0,0.5036515,151.0,106.0,1112239400.0,3e-06,0.5,,,
