epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
12.0,31.0,1844.0,38720.0,1000.0,0.54229933,71.0,71.0,10332.16,0.009003,3.875,,,
39.0,88.0,3740.0,78720.0,2000.0,0.53475934,137.0,104.0,27812240.0,0.008003,2.75,,,
46.0,137.0,5514.0,118720.0,3000.0,0.54406965,137.0,115.0,60516950.0,0.007003,1.625,,,
54.0,17.0,7395.0,158720.0,4000.0,0.540906,152.0,124.25,506437380.0,0.006003,0.5,,,
61.0,50.0,9412.0,198720.0,5000.0,0.5312367,139.0,127.2,4124103400.0,0.005003,0.5,,,
68.0,106.0,11551.0,238720.0,6000.0,0.5194355,132.0,128.0,43496403000.0,0.004003,0.5,,,
76.0,34.0,13591.0,278720.0,7000.0,0.5150467,133.0,128.71428,28906195000.0,0.003003,0.5,,,
83.0,101.0,15650.0,318720.0,8000.0,0.5111821,134.0,129.375,40285725000.0,0.002003,0.5,,,
91.0,48.0,17710.0,358720.0,9000.0,0.5081875,134.0,129.88889,14567071.0,0.001003,0.5,,,
98.0,110.0,19765.0,398720.0,10000.0,0.50594485,134.0,130.3,46941930000.0,3e-06,0.5,,,
