epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
19.0,65.0,1810.0,38720.0,1000.0,0.5524862,61.0,61.0,6790098400.0,0.009003,3.875,,,
28.0,49.0,3705.0,78720.0,2000.0,0.5398111,129.0,95.0,894693700000.0,0.008003,2.75,,,
39.0,12.0,5506.0,118720.0,3000.0,0.5448601,67.0,85.666664,124756840000000.0,0.007003,1.625,,,
53.0,57.0,7359.0,158720.0,4000.0,0.5435521,97.0,88.5,761083440000000.0,0.006003,0.5,,,
80.0,6.0,9369.0,198720.0,5000.0,0.5336749,11.0,73.0,4296068400000000.0,0.005003,0.5,,,
106.0,22.0,11450.0,238720.0,6000.0,0.52401745,113.0,79.666664,1123804160000000.0,0.004003,0.5,,,
122.0,38.0,13511.0,278720.0,7000.0,0.5180964,71.0,78.42857,14402258000000.0,0.003003,0.5,,,
141.0,16.0,15584.0,318720.0,8000.0,0.513347,26.0,71.875,5945040600000000.0,0.002003,0.5,,,
155.0,60.0,17664.0,358720.0,9000.0,0.5095109,69.0,71.55556,2327194000000000.0,0.001003,0.5,,,
173.0,19.0,19751.0,398720.0,10000.0,0.5063035,77.0,72.1,1.158141e+16,3e-06,0.5,,,
