trial,agent.0.net.hid_layers,final_return_ma,strength,max_strength,final_strength,sample_efficiency,training_efficiency,stability,consistency
0,[32],136.10000228881836,114.24000358581543,169.88999938964844,121.13999938964844,0.0002477988637110684,6.2742431055085035e-06,0.9145689327269793,0.5059235729159064
2,"[32, 16]",122.95000076293945,101.09000396728516,145.88999938964844,119.88999938964844,0.00023509297534474172,5.955245228506101e-06,0.8907112930901349,0.11168938232230163
1,[64],100.20000076293945,78.34000205993652,127.38999938964844,112.13999938964844,0.00027663642322295345,7.021380611149652e-06,0.7127068396657705,-0.3012829692285901
3,"[64, 32]",99.85000038146973,77.9900016784668,131.13999938964844,82.63999938964844,0.00027632379351416603,7.025463787613262e-06,0.7784957252442837,-0.169346688285273
