epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
91.0,3.0,114.0,38720.0,1000.0,8.77193,10.0,10.0,15.566619,0.009003,0.7625,,,
182.0,5.0,227.0,78720.0,2000.0,8.810573,11.0,10.5,16.150644,0.008003,0.525,,,
273.0,4.0,340.0,118720.0,3000.0,8.823529,11.0,10.666667,38.092773,0.007003,0.2875,,,
364.0,3.0,454.0,158720.0,4000.0,8.810573,11.0,10.75,18.082994,0.006003,0.05,,,
455.0,2.0,567.0,198720.0,5000.0,8.818342,11.0,10.8,16.924095,0.005003,0.05,,,
546.0,1.0,683.0,238720.0,6000.0,8.784773,11.0,10.833333,27.635586,0.004003,0.05,,,
636.0,11.0,796.0,278720.0,7000.0,8.79397,11.0,10.857142,11.842112,0.003003,0.05,,,
727.0,10.0,909.0,318720.0,8000.0,8.80088,11.0,10.875,13.493745,0.002003,0.05,,,
818.0,9.0,1022.0,358720.0,9000.0,8.806262,11.0,10.888889,10.600573,0.001003,0.05,,,
909.0,8.0,1117.0,398720.0,10000.0,8.952552,11.0,10.9,18.60799,3e-06,0.05,,,
